,nsub,xgb_8020_weights,xgb_joblib8020_max_delta_1,xgb_8020_weights_sqrt,xgb_8020_800_est,xgb_joblib8020_max_delta_5,success
0,4,2,2,4,2,2,2
1,4,2,2,2,2,2,3
2,4,1,1,1,1,1,3
3,4,2,4,4,4,4,2
4,4,4,4,4,4,4,1
5,4,2,4,4,4,4,2
6,4,4,4,4,4,4,1
7,6,6,4,4,4,4,2
8,3,3,3,3,3,3,1
9,12,3,2,2,2,2,3
10,4,4,4,4,2,2,2
11,4,4,4,4,4,4,1
12,4,4,4,4,4,4,1
13,4,4,4,4,4,4,1
14,12,14,2,2,2,2,3
15,4,2,1,1,1,1,3
16,4,1,1,1,1,1,3
17,4,2,2,4,4,4,2
18,4,2,4,4,4,4,2
19,4,2,4,4,4,4,2
20,4,2,4,2,4,4,2
21,4,2,4,4,4,4,2
22,4,2,4,2,4,4,2
23,4,2,4,2,4,4,2
24,4,2,4,4,4,4,2
25,4,2,4,4,4,4,2
26,4,2,4,2,4,4,2
27,4,2,4,4,4,4,2
28,4,2,4,2,4,4,2
29,4,2,4,4,2,4,2
30,4,2,4,4,2,4,2
31,4,2,4,4,2,4,2
32,4,2,4,4,4,4,2
33,4,4,2,2,2,2,2
34,8,4,2,4,2,2,3
35,10,1,2,2,2,2,3
36,10,6,2,2,2,2,3
37,4,2,2,2,2,2,3
38,4,4,2,2,1,2,2
39,4,2,2,2,1,2,3
40,4,24,2,2,2,2,3
41,4,4,4,4,4,4,1
42,3,3,3,3,3,3,1
43,3,1,1,1,1,1,3
44,12,3,2,2,2,2,3
45,12,3,2,2,2,2,3
46,12,3,2,2,2,2,3
47,4,1,4,4,2,4,2
48,4,12,4,4,2,4,2
49,3,8,2,2,2,2,3
50,10,8,2,4,2,2,3
51,6,1,2,1,1,1,3
52,6,8,4,3,4,4,3
53,8,4,2,2,2,2,3
54,4,4,4,4,4,4,1
55,4,6,4,6,2,2,2
56,4,2,2,2,2,2,3
57,4,4,4,2,4,4,2
58,10,6,4,4,4,4,3
59,4,5,2,2,2,1,3
60,6,4,2,4,2,2,3
61,4,2,2,1,2,1,3
62,10,2,2,2,2,2,3
63,8,4,2,2,2,2,3
64,10,4,2,2,2,2,3
65,4,2,1,2,1,1,3
66,6,6,2,4,4,2,2
67,10,2,2,2,2,2,3
68,4,7,2,2,2,2,3
69,6,8,2,6,2,2,2
70,10,4,2,2,2,2,3
71,4,5,2,2,2,2,3
72,3,3,3,3,3,3,1
73,4,2,4,2,4,2,2
74,4,2,4,2,4,2,2
75,4,4,4,2,4,2,2
76,4,1,1,1,1,1,3
77,4,4,2,2,2,2,2
78,4,1,2,1,2,2,3
79,4,3,3,3,3,3,3
80,4,4,4,4,4,4,1
81,10,24,2,2,2,2,3
82,10,4,2,2,2,2,3
83,10,12,2,2,2,2,3
84,10,12,2,2,2,2,3
85,4,3,1,4,1,4,2
86,6,2,2,2,2,2,3
87,3,3,3,3,3,3,1
88,4,2,1,2,2,2,3
89,3,2,2,2,2,2,3
90,6,6,2,4,2,2,2
91,6,6,2,2,2,2,2
92,6,6,2,4,2,2,2
93,6,6,2,4,2,2,2
94,1,1,2,2,2,2,2
95,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1
100,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1
107,1,1,1,1,1,1,1
108,1,1,1,1,1,1,1
109,1,1,2,2,2,2,2
110,1,1,1,1,1,1,1
111,1,1,1,2,1,2,2
112,1,4,4,4,2,4,3
113,1,4,2,4,2,4,3
114,1,1,1,1,1,1,1
115,1,1,1,1,1,1,1
116,1,1,1,1,1,1,1
117,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1
123,1,1,1,1,1,1,1
124,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1
126,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1
128,1,1,1,1,1,1,1
129,1,1,1,1,1,1,1
130,1,1,1,1,1,1,1
131,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1
133,1,1,2,1,1,1,2
134,1,1,2,1,1,1,2
135,1,1,2,1,1,1,2
136,1,1,2,2,2,2,2
137,1,1,2,2,2,1,2
138,1,3,2,2,2,2,3
139,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1
141,1,2,1,1,2,2,2
142,1,1,1,1,1,1,1
143,1,1,1,1,1,1,1
144,1,1,2,2,1,2,2
145,1,1,1,1,1,1,1
146,1,5,2,1,1,1,2
147,1,2,2,2,2,2,3
148,1,3,2,2,1,2,2
149,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1
154,1,1,1,1,1,1,1
155,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1
157,1,6,1,1,1,1,2
158,1,6,1,1,1,1,2
159,1,6,1,1,1,1,2
160,1,6,1,1,1,1,2
161,1,1,1,1,1,1,1
162,1,1,1,1,1,1,1
163,1,1,1,1,1,1,1
164,1,1,1,1,1,1,1
165,1,2,1,1,1,1,2
166,1,3,1,2,1,1,2
167,1,2,2,2,2,2,3
168,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1
171,1,2,2,2,2,1,2
172,1,2,2,2,2,2,3
173,1,2,1,1,1,1,2
174,1,3,1,1,1,1,2
175,1,1,1,1,1,1,1
176,1,1,1,1,1,1,1
177,1,4,1,1,1,1,2
178,1,1,1,1,1,1,1
179,1,1,1,1,2,1,2
180,1,1,1,1,2,1,2
181,1,1,1,1,1,1,1
182,1,1,1,1,1,1,1
183,1,1,1,1,1,1,1
184,1,1,1,1,1,1,1
185,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1
187,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1
191,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1
193,1,1,1,1,1,1,1
194,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1
196,1,1,1,1,1,1,1
197,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1
199,1,1,1,1,1,1,1
200,1,1,1,1,1,1,1
201,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1
203,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1
205,1,1,1,2,1,2,2
206,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1
208,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1
210,1,1,1,1,1,1,1
211,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1
213,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1
215,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1
217,1,1,1,1,1,1,1
218,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1
225,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1
228,1,1,1,1,1,1,1
229,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1
232,1,1,1,1,1,1,1
233,1,1,1,1,1,1,1
234,1,1,1,1,1,1,1
235,1,1,1,1,1,1,1
236,1,1,1,1,1,1,1
237,1,1,1,1,1,2,2
238,1,1,2,2,1,1,2
239,1,1,1,1,1,1,1
240,1,1,1,1,1,1,1
241,1,1,1,2,1,1,2
242,1,1,1,1,1,1,1
243,1,2,1,1,1,1,2
244,1,2,1,1,1,1,2
245,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1
250,1,2,1,1,1,1,2
251,1,1,1,1,1,1,1
252,1,1,1,1,1,1,1
253,1,1,1,1,1,1,1
254,1,1,1,1,1,1,1
255,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1
257,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1
259,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1
261,1,1,1,1,1,2,2
262,1,1,1,1,1,1,1
263,1,1,1,1,1,1,1
264,1,2,2,2,2,2,3
265,1,1,1,1,1,1,1
266,1,1,1,1,1,1,1
267,1,1,1,1,1,1,1
268,1,1,1,1,1,1,1
269,1,1,1,1,1,1,1
270,1,1,1,1,2,2,2
271,1,3,1,1,1,1,2
272,1,1,1,1,1,1,1
273,1,1,1,1,1,1,1
274,1,1,1,1,1,1,1
275,1,1,1,1,1,1,1
276,1,1,1,1,1,1,1
277,1,1,1,1,1,1,1
278,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1
280,1,1,1,1,1,1,1
281,1,1,1,1,1,1,1
282,1,1,1,1,1,1,1
283,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1
287,1,1,1,1,1,1,1
288,1,1,1,1,1,1,1
289,1,1,1,1,1,1,1
290,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1
292,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1
294,1,3,1,1,1,1,2
295,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1
297,1,1,1,1,1,1,1
298,1,1,1,1,1,1,1
299,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1
301,1,1,2,2,1,2,2
302,1,1,1,1,1,1,1
303,1,1,1,1,1,1,1
304,1,1,1,1,1,1,1
305,1,1,1,2,1,1,2
306,1,1,1,1,1,1,1
307,1,2,2,2,2,2,3
308,1,2,2,2,2,2,3
309,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1
311,1,1,1,1,1,1,1
312,1,1,1,1,1,1,1
313,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1
315,1,1,1,1,1,1,1
316,1,1,1,1,1,1,1
317,1,1,1,1,1,1,1
318,1,1,1,1,1,1,1
319,1,1,1,1,1,1,1
320,1,2,2,2,1,1,2
321,1,3,1,2,1,1,2
322,1,2,1,2,1,1,2
323,1,4,4,4,4,4,3
324,1,2,2,2,2,2,3
325,1,1,1,2,2,1,2
326,1,1,1,1,1,1,1
327,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1
329,1,2,1,1,1,1,2
330,1,3,1,2,1,1,2
331,1,3,1,1,1,1,2
332,1,1,1,1,1,1,1
333,1,2,1,1,1,1,2
334,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1
336,1,2,1,1,1,1,2
337,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1
340,1,6,1,4,2,2,2
341,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1
343,1,1,1,1,1,1,1
344,1,1,1,1,1,1,1
345,1,1,1,1,1,1,1
346,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1
349,1,2,2,1,2,2,2
350,1,2,2,1,2,2,2
351,1,1,1,1,1,1,1
352,1,3,2,1,2,2,2
353,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1
355,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1
357,1,1,1,1,1,1,1
358,1,1,1,1,1,1,1
359,1,2,2,2,2,2,3
360,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1
362,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1
364,1,1,1,1,1,1,1
365,1,1,1,1,1,1,1
366,1,1,1,1,1,1,1
367,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1
370,1,2,1,1,2,1,2
371,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1
373,1,1,1,1,1,1,1
374,1,1,1,1,1,1,1
375,1,1,1,1,1,1,1
376,1,1,1,1,1,1,1
377,1,1,1,1,1,1,1
378,1,1,1,1,1,1,1
379,1,1,1,1,1,1,1
380,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1
382,1,1,1,1,1,1,1
383,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1
385,1,1,1,1,1,1,1
386,1,2,1,2,2,1,2
387,1,1,1,1,1,1,1
388,1,3,2,1,1,4,2
389,1,3,1,1,1,1,2
390,1,3,2,1,1,1,2
391,1,2,4,3,2,1,2
392,1,3,1,3,1,1,2
393,1,24,1,1,1,1,2
394,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1
396,1,1,1,1,1,1,1
397,1,1,1,1,1,1,1
398,1,2,1,2,2,2,2
399,1,1,1,1,1,1,1
400,1,1,1,1,1,1,1
401,1,1,1,1,1,1,1
402,1,1,1,1,1,1,1
403,1,1,2,1,1,1,2
404,1,2,1,1,1,1,2
405,1,1,2,2,1,2,2
406,1,1,1,1,1,1,1
